id,nombre_ce,distrito,sector,zona,canton,caserio,direccion,ayuda_asistencia_tecnica,apoyo_economico,apoyo_material_didactico,apoyo_mobiliario_equipo,apoyo_infraestructura,apoyo_remuneracion_docentes,apoyo_materiales_construccion,apoyo_alimentos,cant_deser,correo,X,Y
52,ESCUELA AMERICANA,3,Privado,Urbana,N/A,N/A,"COLONIA Y CALLE LA MASCOTA, FINAL CALLE TRES",0,0,0,0,0,0,0,0,0,,-89.239335,13.695883
53,LICEO SAN BENITO,3,Privado,Urbana,N/A,N/A,CALLE LOMA LINDA Y LA MASCOTA Nø 1 # 116 COLONIA SAN BENITO,0,0,0,0,0,0,0,0,0,info@houseoflearning.edu.sv,-89.230794,13.697008
54,ESCUELA PANAMERICANA,3,Privado,Urbana,N/A,N/A,"FINAL PASAJE LA UNION, CALLE A CANTON EL CARMEN #1348, COLONIA ESCALON",0,0,0,0,0,0,0,0,0,pardoc@escuelapanamericana.org,-89.256362,13.711978
55,COLEGIO SALVADOREÇ?O ESPAÇ?OL,2,Privado,Urbana,N/A,N/A,FINAL 65 AV SUR Nø257 COL. ROMA,0,0,0,0,0,0,0,0,1,administracion@csespanol.com,-89.223833,13.698101
56,LICEO SALVADOREÇ?O,2,Privado,Urbana,N/A,N/A,"PRIMERA CALLE PONIENTE ENTRE 35 Y 37 AV. NORTE, COLONIA FLOR BLANCA",0,0,0,0,0,0,0,0,20,secretaria_bach@liceosalvadoreno.edu.sv,-89.210242,13.70298
57,COLEGIO SALVADOREÇ?O INGLES,3,Privado,Urbana,N/A,N/A,"OCHENTA Y CINCO AV. NORTE, NUMERO CIENTO TRECE, COLONIA ESCALON",0,0,0,0,0,0,0,0,0,direccion@csi-elsalvador.com,-89.240027,13.703569
59,COLEGIO DIEGO DE HOLGUIN,1,Privado,Urbana,N/A,N/A,29 CALLE PONIENTE Nø 1333 COLONIA LAYCO,1,1,0,0,0,0,0,0,6,col_dh@yahoo.es,-89.203041,13.714371
60,COLEGIO CORAZON DE MARIA,1,Privado,Urbana,N/A,N/A,15 CALLE PONIENTE #122,0,0,0,0,0,0,0,0,3,cademaria06@yahoo.com,-89.191305,13.706895
61,COLEGIO BAUTISTA EMMANUEL,5,Privado,Urbana,N/A,N/A,"PROLONGACION AV. EL COCAL NUMERO 1640, BARRIO SAN JACINTO ",0,0,0,0,0,0,0,0,11,cbemmanuel@hotmail.com,-89.191312,13.681168
62,COLEGIO EL ESPIRITU SANTO,5,Privado,Urbana,N/A,N/A,"DECIMA AV. SUR, CALLE ALBERTO SANCHEZ NUMERO 1523, BARRIO SAN JACINTO",0,0,0,0,0,0,0,0,0,colegioespiritusanto@hotmail.com,-89.191306,13.683494
63,COLEGIO LUZ DE ISRAEL,3,Privado,Urbana,N/A,N/A,FINAL 73 AV SUR  CALLE NUEVA #2 N§ 401 COLONIA ESCALON ,0,0,0,0,0,0,0,0,17,colegioluzdeisrael@hotmail.com,-89.229833,13.69819
64,CENTRO EDUCATIVO DENVER,4,Privado,Urbana,N/A,N/A,CALLE ANTIGUA A HUIZUCAR #15 LOMAS DE SAN FRANCISCO,0,1,0,0,0,0,0,0,13,centrodenversv@yahoo.com,-89.228265,13.675254
65,LICEO DAVID J. GUZMAN,5,Privado,Rural,N/A,N/A,CALLE LARA # 537 BARRIO SAN JACINTO,0,0,0,0,0,0,0,0,2,liceodavidjguzman179@hotmail.com,-89.188552,13.690181
66,COLEGIO EUCARISTICO,1,Privado,Urbana,N/A,N/A,"ALAMEDA JUAN PABLO II Nø 523 Y NOVENA CALLE OTE. Nø 416, OCTAVA AV. NORTE Nø 510 Y DECIMA AV. NORTE, BARRIO SAN JOSE",0,0,0,0,0,0,0,0,4,eucaristico.san.salvador@gmail.com,-89.187536,13.714304
67,CENTRO DE ENSEÇ?ANZA NACIONES UNIDAS,2,Privado,Urbana,N/A,N/A,"COLONIA CIUDAD SATELITE, PASAJE ARIES POLIGONO R CASAS #9 Y #10",0,0,0,0,0,0,0,0,2,ingrid_gonzalez@hotmail.com,-89.21737,13.722702
68,COLEGIO CRISTOBAL COLON,2,Privado,Urbana,N/A,N/A,"COLONIA EL ROBLE, AV. ""C"" NUMERO 125",0,0,0,0,0,0,0,0,3,direcciontecnica@colegiocristobalcolon.edu.sv,-89.209983,13.715164
69,COLEGIO GUADALUPANO,2,Privado,Urbana,N/A,N/A,25 AV. NORTE Nø 1047,0,0,0,0,0,0,0,0,2,col_guadalupano@hotmail.com,-89.204355,13.70857
70,COLEGIO EXTERNADO DE SAN JOSE,2,Privado,Urbana,N/A,N/A,RESIDENCIAL DECAPOLIS 33 AV. NORTE FINAL PASAJE SAN JOSE,0,0,0,0,0,0,0,0,5,direccion@externado.edu.sv,-89.20598,13.706678
71,BERRY COLLEGE SCHOOL OF BUSINESS,2,Privado,Urbana,N/A,N/A,27 AV. NORTE Nø 1138,0,0,0,0,0,0,0,0,0,berrycollegeschool@yahoo.com,-89.204842,13.7102
72,COLEGIO MIRALVALLE,2,Privado,Urbana,N/A,N/A,COLONIA Y PASEO MIRALVALLE #198,0,0,0,0,0,0,0,0,2,cm20520@gmail.com,-89.227066,13.722339
73,COLEGIO PALAS ATENEA,2,Privado,Urbana,N/A,N/A,"URBANIZACION CIUDAD SATELITE, CALLE CONSTITUCION, POLIGONO ""X"" #4",0,0,0,0,0,0,0,0,0,colegiopalasatenea@gmail.com,-89.212438,13.724226
75,COLEGIO SANTA MARIA,2,Privado,Urbana,N/A,N/A,"FINAL CALLE, SAN ANTONIO ABAD Nø 3414",0,1,0,1,1,1,1,1,4,csm79archivos@gmail.com,-89.225892,13.718623
76,COLEGIO ANGLO AMERICANO,2,Privado,Urbana,N/A,N/A,"COLONIA MIRAMONTE, CALLE SISIMILES N§ 3130",0,0,0,0,0,0,0,0,9,direccion@angloamericano.edu.sv,-89.216084,13.71203
77,COLEGIO MARIA DE BARATTA,2,Privado,Urbana,N/A,N/A,CALLE A SAN ANTONIO ABAD COLONIA LISBOA PASAJE 1 #73,0,0,0,0,0,0,0,0,1,claurr2003@yahoo.com,-89.220943,13.717286
78,COLEGIO ADVENTISTA DE SAN SALVADOR,1,Privado,Urbana,N/A,N/A,"PRIMERA AV. NORTE Nø 1109 BARRIO SAN MIGUELITO, UNA CUADRA AL PONIENTE DEL MERCADO SAN MIGUELITO",0,0,0,0,0,0,0,0,3,colegiocass@hotmail.com,-89.191426,13.709228
79,LICEO SANTA ANITA,5,Privado,Urbana,N/A,N/A,"17 AV. SUR Nø 1049, BARRIO SANTA ANITA",0,0,0,0,0,0,0,0,3,liceosantaanita@outlok.com,-89.200697,13.688234
81,COLEGIO LA DIVINA PROVIDENCIA,DCH,Privado,Urbana,N/A,N/A,CALLE CONCEPCION N§ 426,0,0,0,0,0,0,0,0,11,ladivinaprovidencia17@hotmail.com,-89.184703,13.700655
82,COLEGIO MARIA AUXILIADORA,1,Privado,Urbana,N/A,N/A,23 CALLE ORIENTE NUMERO 134 ENTRE AV. ESPA¥A Y AV. MONSE¥OR ROMERO,0,0,0,0,0,0,0,0,4,colegiomariaauxiliadora1903@gmail.com,-89.18986,13.710501
83,COLEGIO SAN CARLOS,1,Privado,Urbana,N/A,N/A,37 CALLE ORIENTE REPARTO 37 SEGUNDA ETAPA PASAJE LIBERTAD CASA NUMERO UNO COLONIA ATLACATL,0,1,1,1,1,1,1,1,2,colegiosancarlos2015@yahoo.com,-89.177646,13.716232
84,ESCUELA BILINGÇ?E TAZUMAL,2,Privado,Urbana,N/A,N/A,57 AV. NORTE PASAJE 10 #3022 COLONIA MIRAMONTE,1,0,0,0,0,0,0,0,1,ebtazumal@gmail.com,-89.219904,13.706199
85,LICEO GETSEMANI,2,Privado,Urbana,N/A,N/A,ALAMEDA JUAN PABLO II FRENTE A ISSS MEDICO QUIRURGICO,0,0,0,0,0,0,0,0,2,liceogetsemani@ibmiramonte.org,-89.207121,13.70357
86,COLEGIO ANGEL MARIA PEDROZA,3,Privado,Urbana,N/A,N/A,FINAL 75 AV. NORTE Y PROLONGACION ALAMEDA JUAN PABLO II. # 816 COLONIA ESCALON.,0,0,0,0,0,0,0,0,0,direccion@colegiopedroza.com,-89.231878,13.709807
87,COLEGIO CASA DE JUEGOS,1,Privado,Urbana,N/A,N/A,URBANIZACION LOMAS DE SAN FRANCISCO III CALLE PRINCIPAL AV. 1 CASA Nø42 A ,0,0,0,0,0,0,0,0,3,playhousekinder@gmail.com ,-89.195355,13.702524
88,LICEO REVERENDO FRANCISCO RAMIREZ ARBIZU,5,Privado,Urbana,N/A,N/A,FINAL COLONIA LUZ 30 CALLE PONIENTE Nø 2427,0,0,0,0,0,0,0,0,1,liceoarbizu@gmail.com,-89.215928,13.686564
89,JARDIN INFANTIL GOTITAS,1,Privado,Urbana,N/A,N/A,"COLONIA EL REFUGIO, AV. SAN LORENZO #119 (A UN COSTADO DEL CUARTEL SAN CARLOS)",0,0,0,0,0,0,0,0,4,gotitasdaycare@gmail.com,-89.197076,13.716786
90,ESCUELA TECNICA PARA LA SALUD MARIA TERESA LANG,1,Privado,Urbana,N/A,N/A,"CUARENTA Y NUEVE AV. SUR, PALO ALTO ENTRE CALLE EL PROGRESO Y AV. OLIMPICA",0,0,0,0,0,0,0,0,38,etps520@hotmail.com,-89.202442,13.701425
91,LICEO CRISTIANO REVERENDO JUAN BUENO DE LA COLONIA SAN BENITO,3,Privado,Urbana,N/A,N/A,CALLE LOMA LINDA #310 COLONIA SAN BENITO ,0,0,0,0,0,0,0,0,17,colegio@juanbuenosanbenito.org,-89.235445,13.695953
92,COLEGIO SUIZO SALVADOREÇ?O,3,Privado,Urbana,N/A,N/A,PROLONGACION ALAMEDA JUAN PABLO II Nø 969 COLONIA ESCALON,0,0,0,0,0,0,0,0,10,colegiosuizosalv@gmail.com,-89.229842,13.709454
93,COLEGIO MARIE PAUL,1,Privado,Urbana,N/A,N/A,SEPTIMA AV. NORTE Y CALLE SAN CARLOS,0,0,0,0,0,0,0,0,3,mariepaulcolegio@yahoo.com,-89.193723,13.716532
94,COLEGIO MONTESSORIANO,2,Privado,Urbana,N/A,N/A,"URBANIZACION SIGLO XXI, CALLE CHURRUCA E IPARRAGUIRRE #19-20",0,0,0,0,0,0,0,0,7,info@montesoriano.com.sv,-89.207821,13.706015
95,INSTITUTO CRISTIANO EL SEMBRADOR,5,Privado,Urbana,N/A,N/A,AV. BERBENA 1423 BARRIO SAN JACINTO ,1,0,0,0,0,0,0,0,9,colegio_elsembrador@hotmail.com ,-89.188812,13.684417
96,COLEGIO CRISTIANO JOSUE,3,Privado,Urbana,N/A,N/A,AV. MASFERRER SUR Nø 163-B COLONIA CAMPESTRE,0,0,0,0,0,0,0,0,0,info@colegiojosue.com,-89.250132,13.701168
97,KINDERGARTEN BENDIX,4,Privado,Urbana,N/A,N/A,CALLE LOS ABETOS BLOCK 2 URBANIZACION LOMA LINDA,0,0,0,0,0,0,0,0,0,fridabendix@gmail.com,-89.225734,13.675409
98,COLEGIO EL MUNDO MAGICO INFANTIL,5,Privado,Urbana,N/A,N/A,COLONIA Y AV. VISTA HERMOSA 152,0,0,0,0,0,0,0,0,3,mundoinfantil20@hotmail.com ,-89.20985,13.685334
99,COLEGIO CRISTIANO BILINGÇ?E UN NIÇ?O PARA CRISTO,4,Privado,Urbana,N/A,N/A,COLONIA SAN FRANCISCO AV. LAS AMAPOLAS Y CALLE LOS BAMBUES  #22 B,0,0,0,0,0,0,0,0,0,acfe@live.com,-89.222527,13.691805
100,ESCUELA SALESIANA DOMINGO SAVIO,1,Privado,Urbana,N/A,N/A,SEPTIMA AV. NORTE ENTRE 23 Y 27 CALLE PONIENTE COLONIA LAYCO,0,0,0,0,0,0,0,0,3,hdssdomingo@gmail.com,-89.193679,13.712504
101,ESCUELA CRISTIANA AMERICANA,3,Privado,Urbana,N/A,N/A,"COLONIA ESCALON FINAL 79 AV. NORTE, NUMERO 719",1,0,0,0,0,0,0,0,0,escuelacrisianoamerican@gmail.com,-89.235504,13.708899
102,ESCUELA BILINGÇ?E MAQUILISHUAT,3,Privado,Urbana,N/A,N/A,BLV. DEL HIPODROMO #540 COLONIA SAN BENITO,0,0,0,0,0,0,0,0,0,ebminforma@ebm.edu.sv,-89.243765,13.692192
103,COLEGIO UNION AMERICANA,4,Privado,Urbana,N/A,N/A,CALLELOS CASTA¥OS AV. LAS BUGAMBILIAS NUMERO 224 COLONIA SAN FRANCISCO,1,0,0,0,0,0,0,0,1,unitedschool@gmail.com,-89.22441,13.6875
104,INSTITUTO TECNICO OBRERO EMPRESARIAL DON BOSCO,6,Privado,Urbana,N/A,N/A,AV. PERALTA Y FINAL CALLE RENOVACION CON IBERIA POLIGONO INDUSTRIAL DON BOSCO ,0,0,0,0,0,0,0,0,43,registroacademico_itoe2010@hotmail.com,-89.174629,13.704887
105,COLEGIO ABC,3,Privado,Urbana,N/A,N/A,89 AV. NORTE Y 3ø CALLE PONIENTE Nø 4628 COLONIA ESCALON,0,0,0,0,0,0,0,0,0,info1@abcbilingualschool.edu.sv,-89.242812,13.705579
106,KINDERGARTEN SANTA TERESITA,2,Privado,Urbana,N/A,N/A,"URBANIZACION LA FLORIDA, PASAJE LAS PALMERAS #7",0,0,0,0,0,0,0,0,1,ksantateresita@gmail.com,-89.208865,13.707492
107,COLEGIO SANTIAGO ELIAS ECHEGOYEN,1,Privado,Urbana,N/A,N/A,COLONIA SANTA EUGENIA AV. ARAUJO #913 BARRIO SAN MIGUELITO,0,0,0,0,0,0,0,0,0,colsantechegoyen@gmail.com,-89.189849,13.706577
108,COLEGIO AGUSTINA CHARVIN,5,Privado,Rural,N/A,N/A,COLONIA AMERICA 10 AV SUR #1739 BARRIO SAN JACINTO,0,0,0,0,0,0,0,0,19,egustinacharvin@hotmail.com,-89.192114,13.679601
109,COLEGIO DIVINO SALVADOR,DCH,Privado,Urbana,N/A,N/A,DECIMA AV. SUR 419,0,0,0,0,0,0,0,0,7,colegiodivinosalvador@yahoo.com,-89.187333,13.695596
